user_skills_str,job_skills_str,job_title,job_idx,n_user_skills,n_job_skills,overlap_pct,label
"quality assurance, testing","ansible, aws, cicd, docker, kubernetes, linux, terraform",DevOps Intern (Mahasiswa Aktif),73,2,7,0.0,0
"agile, api, aws, azure, cicd, database, docker, gcp, git, html, java, javascript, kubernetes, react native, sql","agile, api, aws, azure, cicd, database, docker, gcp, git, html, java, javascript, kubernetes, react native, sql",Junior Software Engineer (JAVA),12,15,15,1.0,1
"accessibility, api, automation, css, database, express, git, go, html, java, javascript, mongodb, nextjs, node, nosql, php, python, scala, security, sql, testing","accessibility, api, automation, css, database, express, git, go, html, java, javascript, mongodb, nextjs, node, nosql, php, python, scala, security, sql, testing",Backend Programmer,3,21,21,1.0,1
"figma, graphql, linux, tableau","agile, appium, automation, go, java, javascript, postman, python, quality assurance, security, selenium, testing, user research",Software Quality Assurance,23,4,13,0.0,0
"powerbi, python, sql","agile, figma, jest, testing",Product Designer,131,3,4,0.0,0
"java, javascript, php, sql","agile, java, javascript, php, sql",PROGRAMMER WEB,110,4,5,0.8,1
"aspnet, node","css, html, javascript, react, tailwind, vue",Front-End Developer – 8th hire at a Startup!,79,2,6,0.0,0
"linux, networking","linux, networking",IT Support Intern,148,2,2,1.0,1
"database, git, jest, linux, networking, security, swift","database, linux, networking, security",IT Support Intern,177,7,4,1.0,1
"agile, automation, selenium","adobexd, design system, figma, user research",UI/UX Desainer Intern,91,3,4,0.0,0
"api, docker, laravel, node, python, redis, sql","api, docker, laravel, node, python, sql",Tech Developer Intern - Staff,67,7,6,1.0,1
"django, fastapi, flask, gcp, git, javascript, python, react, react native, scala, sql","aws, azure, django, fastapi, flask, gcp, git, javascript, nextjs, python, react, react native, scala, sql",Full Stack Developer (Python),17,11,14,0.7857142857142857,1
"android, figma, git, ios, java, javascript, react, typescript","android, api, figma, git, ios, java, javascript, react, react native, typescript",React Native Developer (Junior),40,8,10,0.8,1
"linux, networking, user research","database, linux, networking, user research",IT Staff,133,3,4,0.75,1
"java, javascript, quality assurance, ruby on rails, testing","java, javascript, quality assurance, testing, typescript",QA Engineer Intern,90,5,5,0.8,1
"go, graphql, ruby on rails, scala, selenium","api, docker, elasticsearch, fastapi, flask, git, jest, linux, nosql, python, security, sql",Agentic AI Engineer,29,5,12,0.0,0
"database, linux, networking, security","database, linux, networking, security",IT INTERNSHIP,175,4,4,1.0,1
"bash, express, vue","git, javascript, nextjs, node, nosql, python, react, react native, scala, sql",FULL STACK SOFTWARE DEVELOPER,38,3,10,0.0,0
"css, git, html, java, javascript, laravel, network security, networking, php, postman, sql, tensorflow","css, git, html, java, javascript, laravel, network security, networking, php, postman, sql, tensorflow",IT Support Intern,24,12,12,1.0,1
"aws, azure, cicd, docker, gcp, kubernetes, terraform","database, linux, networking, security","Customer Service, Account Officer, Kepala Bagian Kredit, Driver, Audit Intern",174,7,4,0.0,0
"powerbi, react native","agile, quality assurance",QA Engineer (Intern),138,2,2,0.0,0
"linux, networking","agile, angular, css, html, javascript, node, react, scala, testing, user research",Web Developer,45,2,10,0.0,0
"jest, nosql, quality assurance, sql, vue","jest, quality assurance",SUPERVISOR OPERASIONAL,171,5,2,1.0,1
"adobexd, aws, go, penetration, python, react native","api, docker, laravel, node, python, sql",Class Manager: Back-End (Intern),74,6,6,0.16666666666666666,0
"postman, sql","api, css, git, graphql, html, java, javascript, jest, react, springboot, tailwind, testing, typescript",Frontend Developer (Contract),21,2,13,0.0,0
"database, linux, security","database, linux, networking, security","Customer Service, Account Officer, Kepala Bagian Kredit, Driver, Audit Intern",174,3,4,0.75,1
"api, aspnet, css, database, git, html, java, javascript, scala, user research","api, aspnet, css, database, git, html, java, javascript, scala, user research",Web Programmer,44,10,10,1.0,1
